qid,chained::разброс длин рёбер (cv)@0.20,chained::длинные к медиане@0.20,chained::средняя длина ребра@0.20,"chained::служ.-служ., один токен@0.10","chained::служ.-служ., разные@0.10","chained::смысл.-смысл., один токен@0.10","chained::смысл.-смысл., разные@0.10","chained::часть-часть, один токен@0.10","chained::часть-часть, разные@0.10",chained::смешанные@0.10,chained::лог-ранг знам. концов@0.10,chained::лог-ранг знам. текста@0.10,"chained::хотя бы один hapax, %@0.10","chained::куски одного слова, %@0.10",chained::разрыв@0.10,"chained::на 10% узлов, % рёбер@0.10","chained::служ.-служ., один токен@0.20","chained::служ.-служ., разные@0.20","chained::смысл.-смысл., один токен@0.20","chained::смысл.-смысл., разные@0.20","chained::часть-часть, один токен@0.20","chained::часть-часть, разные@0.20",chained::смешанные@0.20,chained::лог-ранг знам. концов@0.20,chained::лог-ранг знам. текста@0.20,"chained::хотя бы один hapax, %@0.20","chained::куски одного слова, %@0.20",chained::разрыв@0.20,"chained::на 10% узлов, % рёбер@0.20","chained::служ.-служ., один токен@0.30","chained::служ.-служ., разные@0.30","chained::смысл.-смысл., один токен@0.30","chained::смысл.-смысл., разные@0.30","chained::часть-часть, один токен@0.30","chained::часть-часть, разные@0.30",chained::смешанные@0.30,chained::лог-ранг знам. концов@0.30,chained::лог-ранг знам. текста@0.30,"chained::хотя бы один hapax, %@0.30","chained::куски одного слова, %@0.30",chained::разрыв@0.30,"chained::на 10% узлов, % рёбер@0.30","chained::служ.-служ., один токен@0.40","chained::служ.-служ., разные@0.40","chained::смысл.-смысл., один токен@0.40","chained::смысл.-смысл., разные@0.40","chained::часть-часть, один токен@0.40","chained::часть-часть, разные@0.40",chained::смешанные@0.40,chained::лог-ранг знам. концов@0.40,chained::лог-ранг знам. текста@0.40,"chained::хотя бы один hapax, %@0.40","chained::куски одного слова, %@0.40",chained::разрыв@0.40,"chained::на 10% узлов, % рёбер@0.40","chained::служ.-служ., один токен@0.50","chained::служ.-служ., разные@0.50","chained::смысл.-смысл., один токен@0.50","chained::смысл.-смысл., разные@0.50","chained::часть-часть, один токен@0.50","chained::часть-часть, разные@0.50",chained::смешанные@0.50,chained::лог-ранг знам. концов@0.50,chained::лог-ранг знам. текста@0.50,"chained::хотя бы один hapax, %@0.50","chained::куски одного слова, %@0.50",chained::разрыв@0.50,"chained::на 10% узлов, % рёбер@0.50",flat::разброс длин рёбер (cv)@0.20,flat::длинные к медиане@0.20,flat::средняя длина ребра@0.20,"flat::служ.-служ., один токен@0.10","flat::служ.-служ., разные@0.10","flat::смысл.-смысл., один токен@0.10","flat::смысл.-смысл., разные@0.10","flat::часть-часть, один токен@0.10","flat::часть-часть, разные@0.10",flat::смешанные@0.10,flat::лог-ранг знам. концов@0.10,flat::лог-ранг знам. текста@0.10,"flat::хотя бы один hapax, %@0.10","flat::куски одного слова, %@0.10",flat::разрыв@0.10,"flat::на 10% узлов, % рёбер@0.10","flat::служ.-служ., один токен@0.20","flat::служ.-служ., разные@0.20","flat::смысл.-смысл., один токен@0.20","flat::смысл.-смысл., разные@0.20","flat::часть-часть, один токен@0.20","flat::часть-часть, разные@0.20",flat::смешанные@0.20,flat::лог-ранг знам. концов@0.20,flat::лог-ранг знам. текста@0.20,"flat::хотя бы один hapax, %@0.20","flat::куски одного слова, %@0.20",flat::разрыв@0.20,"flat::на 10% узлов, % рёбер@0.20","flat::служ.-служ., один токен@0.30","flat::служ.-служ., разные@0.30","flat::смысл.-смысл., один токен@0.30","flat::смысл.-смысл., разные@0.30","flat::часть-часть, один токен@0.30","flat::часть-часть, разные@0.30",flat::смешанные@0.30,flat::лог-ранг знам. концов@0.30,flat::лог-ранг знам. текста@0.30,"flat::хотя бы один hapax, %@0.30","flat::куски одного слова, %@0.30",flat::разрыв@0.30,"flat::на 10% узлов, % рёбер@0.30","flat::служ.-служ., один токен@0.40","flat::служ.-служ., разные@0.40","flat::смысл.-смысл., один токен@0.40","flat::смысл.-смысл., разные@0.40","flat::часть-часть, один токен@0.40","flat::часть-часть, разные@0.40",flat::смешанные@0.40,flat::лог-ранг знам. концов@0.40,flat::лог-ранг знам. текста@0.40,"flat::хотя бы один hapax, %@0.40","flat::куски одного слова, %@0.40",flat::разрыв@0.40,"flat::на 10% узлов, % рёбер@0.40","flat::служ.-служ., один токен@0.50","flat::служ.-служ., разные@0.50","flat::смысл.-смысл., один токен@0.50","flat::смысл.-смысл., разные@0.50","flat::часть-часть, один токен@0.50","flat::часть-часть, разные@0.50",flat::смешанные@0.50,flat::лог-ранг знам. концов@0.50,flat::лог-ранг знам. текста@0.50,"flat::хотя бы один hapax, %@0.50","flat::куски одного слова, %@0.50",flat::разрыв@0.50,"flat::на 10% узлов, % рёбер@0.50"
q000,0.31158109211649787,1.1850230229051022,22.36076589092612,0.0,0.0,0.0,55.00000000000001,0.0,30.0,15.0,6.163526935974537,6.096566457145604,85.0,10.0,120.75,67.5,0.0,5.0,0.0,47.5,0.0,25.0,22.5,6.299787494293345,6.096566457145604,85.0,7.5,137.025,43.75,0.0,5.0,0.0,56.666666666666664,0.0,20.0,18.333333333333332,6.411134436002063,6.096566457145604,85.0,5.0,154.61666666666667,38.333333333333336,1.25,6.25,0.0,56.25,0.0,17.5,18.75,6.274722524989884,6.096566457145604,81.25,3.75,153.8625,33.75,1.0,8.0,0.0,56.99999999999999,0.0,16.0,18.0,6.257864507108982,6.096566457145604,81.0,4.0,159.07,32.5,0.29272464913611324,1.276570047187277,20.943379216641187,0.0,25.0,0.0,30.0,0.0,10.0,35.0,6.336362340310286,6.223433814105476,70.0,5.0,199.55,60.0,2.5,22.5,0.0,40.0,0.0,10.0,25.0,6.117881838936781,6.223433814105476,67.5,5.0,175.35,40.0,1.6666666666666667,23.333333333333332,0.0,46.666666666666664,0.0,6.666666666666667,21.666666666666668,6.017589104009306,6.223433814105476,66.66666666666666,3.3333333333333335,162.01666666666668,34.166666666666664,1.25,21.25,0.0,51.24999999999999,0.0,6.25,20.0,6.213555110173172,6.223433814105476,70.0,3.75,166.775,32.5,1.0,17.0,0.0,60.0,0.0,5.0,17.0,6.305775951049665,6.223433814105476,73.0,3.0,160.66,31.0
q001,0.33028967687898725,1.163808159624438,20.82036713257432,0.0,15.0,0.0,40.0,0.0,20.0,25.0,6.721858424468353,6.567893595562299,70.0,10.0,158.8,55.00000000000001,0.0,17.5,0.0,52.5,0.0,12.5,17.5,6.417567847178184,6.567893595562299,77.5,5.0,180.525,36.25,1.6666666666666667,16.666666666666664,0.0,56.666666666666664,0.0,10.0,15.0,6.379799950832613,6.567893595562299,80.0,3.3333333333333335,176.33333333333334,37.5,1.25,12.5,0.0,62.5,0.0,8.75,15.0,6.46978531390452,6.567893595562299,80.0,2.5,154.5875,30.625000000000004,1.0,12.0,0.0,65.0,0.0,8.0,14.000000000000002,6.569837531387295,6.567893595562299,83.0,2.0,149.8,33.5,0.3344674692594532,1.2247221638921737,20.04712639272213,0.0,10.0,0.0,45.0,0.0,20.0,25.0,6.554526154592922,6.936527780386345,80.0,10.0,164.5,62.5,0.0,17.5,0.0,47.5,0.0,15.0,20.0,6.4329176256357785,6.936527780386345,72.5,5.0,154.975,42.5,0.0,11.666666666666666,0.0,61.66666666666667,0.0,13.333333333333334,13.333333333333334,6.753544691583886,6.936527780386345,81.66666666666667,3.3333333333333335,138.16666666666666,37.5,0.0,12.5,0.0,66.25,0.0,10.0,11.25,6.872655413753633,6.936527780386345,80.0,3.75,141.725,33.125,0.0,10.0,0.0,71.0,0.0,9.0,10.0,6.964354174819536,6.936527780386345,83.0,3.0,148.35,31.5
q002,0.3205118251078559,1.1977343718393052,22.514878989458083,0.0,20.0,0.0,45.0,0.0,15.0,20.0,5.778261829935273,6.163182746804013,85.0,10.0,190.3,67.5,0.0,15.0,0.0,50.0,0.0,12.5,22.5,5.7805540076538,6.163182746804013,85.0,7.5,194.15,42.5,0.0,13.333333333333334,0.0,55.00000000000001,0.0,10.0,21.666666666666668,6.020243682531615,6.163182746804013,81.66666666666667,8.333333333333332,191.9,39.166666666666664,0.0,11.25,1.25,52.5,0.0,10.0,25.0,6.129928165944727,6.163182746804013,81.25,7.5,179.425,30.625000000000004,0.0,11.0,1.0,55.00000000000001,0.0,9.0,24.0,6.215383174726173,6.163182746804013,84.0,7.000000000000001,191.43,29.5,0.30478532999940056,1.2061416879492515,22.14012431204319,10.0,20.0,0.0,35.0,0.0,15.0,20.0,5.768143728139106,6.362291339386136,70.0,0.0,183.95,60.0,5.0,20.0,0.0,42.5,0.0,10.0,22.5,5.930635072520347,6.362291339386136,72.5,2.5,186.45,41.25,3.3333333333333335,21.666666666666668,0.0,45.0,0.0,10.0,20.0,6.088649285780314,6.362291339386136,71.66666666666667,1.6666666666666667,213.41666666666666,35.833333333333336,2.5,20.0,0.0,50.0,0.0,8.75,18.75,6.2157218375294345,6.362291339386136,72.5,1.25,195.3375,27.500000000000004,2.0,19.0,0.0,54.0,0.0,8.0,17.0,6.313445204090748,6.362291339386136,72.0,2.0,193.32,27.500000000000004
q003,0.2983697610952829,1.1643602490917253,22.318819759488107,0.0,10.0,0.0,45.0,0.0,10.0,35.0,5.840618745768848,5.88100310478949,70.0,0.0,195.0,55.00000000000001,0.0,7.5,0.0,60.0,0.0,5.0,27.500000000000004,5.83504034552982,5.88100310478949,77.5,0.0,162.45,38.75,1.6666666666666667,11.666666666666666,1.6666666666666667,55.00000000000001,0.0,3.3333333333333335,26.666666666666668,5.798367508808453,5.88100310478949,73.33333333333333,0.0,163.95,36.666666666666664,1.25,15.0,1.25,58.75,0.0,2.5,21.25,5.805313246864505,5.88100310478949,73.75,0.0,150.2125,30.0,1.0,18.0,1.0,56.99999999999999,0.0,2.0,21.0,5.757688468769026,5.88100310478949,70.0,0.0,151.8,28.999999999999996,0.3190786096428345,1.254178669856912,20.469848364293576,5.0,20.0,0.0,25.0,0.0,10.0,40.0,5.43388196532011,6.292924108861669,70.0,5.0,149.3,75.0,2.5,27.500000000000004,0.0,30.0,0.0,12.5,27.500000000000004,5.769281773733167,6.292924108861669,67.5,2.5,178.425,50.0,1.6666666666666667,26.666666666666668,0.0,41.66666666666667,0.0,8.333333333333332,21.666666666666668,6.185166982190395,6.292924108861669,70.0,1.6666666666666667,202.83333333333334,45.83333333333333,1.25,26.25,0.0,46.25,0.0,6.25,20.0,6.407284537757967,6.292924108861669,71.25,1.25,188.6875,40.625,1.0,21.0,0.0,56.99999999999999,0.0,5.0,16.0,6.460556147005935,6.292924108861669,71.0,1.0,180.62,39.0
q004,0.379944559932492,1.2133133763300956,20.772999995350837,0.0,20.0,0.0,40.0,0.0,5.0,35.0,6.01412720574947,6.247704796508206,80.0,5.0,152.15,55.00000000000001,5.0,22.5,0.0,37.5,0.0,5.0,30.0,6.10339491459115,6.247704796508206,80.0,5.0,158.975,40.0,3.3333333333333335,21.666666666666668,0.0,40.0,0.0,8.333333333333332,26.666666666666668,6.252320607305584,6.247704796508206,80.0,3.3333333333333335,144.43333333333334,37.5,2.5,16.25,0.0,52.5,0.0,6.25,22.5,6.1854342071412365,6.247704796508206,82.5,2.5,151.0875,31.25,2.0,16.0,0.0,56.99999999999999,0.0,5.0,20.0,6.0984736082068585,6.247704796508206,76.0,2.0,150.11,33.5,0.34056038671478017,1.2628863883489698,20.502140266895296,5.0,35.0,0.0,20.0,0.0,10.0,30.0,4.587067623538755,5.9352495365952604,55.00000000000001,5.0,174.15,60.0,2.5,25.0,0.0,30.0,0.0,10.0,32.5,5.1010931135205375,5.9352495365952604,62.5,5.0,166.125,50.0,1.6666666666666667,20.0,0.0,50.0,0.0,6.666666666666667,21.666666666666668,5.682920663848054,5.9352495365952604,68.33333333333333,3.3333333333333335,172.91666666666666,39.166666666666664,1.25,16.25,0.0,60.0,0.0,5.0,17.5,5.821551557939348,5.9352495365952604,67.5,2.5,166.8625,33.125,1.0,14.000000000000002,0.0,65.0,0.0,4.0,16.0,5.880234311237542,5.9352495365952604,70.0,2.0,161.15,32.0
q005,0.30813042490764575,1.1751786199197294,20.802660467326643,0.0,5.0,0.0,40.0,0.0,25.0,30.0,5.948896493502303,6.104964656951304,80.0,5.0,112.7,65.0,0.0,12.5,0.0,50.0,0.0,15.0,22.5,5.828181552251314,6.104964656951304,85.0,2.5,110.05,45.0,0.0,13.333333333333334,0.0,56.666666666666664,0.0,10.0,20.0,6.041926444920335,6.104964656951304,85.0,1.6666666666666667,110.3,37.5,0.0,12.5,0.0,56.25,0.0,11.25,20.0,6.191131014546769,6.104964656951304,86.25,2.5,105.925,34.375,0.0,15.0,0.0,56.00000000000001,1.0,10.0,18.0,6.258981810539864,6.104964656951304,82.0,4.0,102.45,33.0,0.3001615445650168,1.2002939852788956,19.719061522483827,0.0,10.0,0.0,35.0,0.0,5.0,50.0,6.197164718940262,6.390829129872179,85.0,5.0,78.3,62.5,0.0,17.5,0.0,50.0,0.0,7.5,25.0,6.177147687602625,6.390829129872179,82.5,2.5,85.7,41.25,0.0,18.333333333333332,0.0,56.666666666666664,0.0,5.0,20.0,6.242418442787768,6.390829129872179,80.0,1.6666666666666667,86.08333333333333,40.0,0.0,15.0,0.0,62.5,0.0,3.75,18.75,6.380858907304638,6.390829129872179,82.5,2.5,93.8875,35.0,0.0,13.0,0.0,67.0,0.0,4.0,16.0,6.450796833358783,6.390829129872179,82.0,2.0,96.25,33.0
q006,0.27478363414335105,1.1970286974716362,21.717821762561798,0.0,10.0,5.0,35.0,0.0,5.0,45.0,5.790283232828794,6.13721295342133,85.0,10.0,65.75,67.5,0.0,7.5,2.5,42.5,0.0,10.0,37.5,5.668586116047558,6.13721295342133,87.5,7.5,67.7,42.5,0.0,8.333333333333332,1.6666666666666667,51.66666666666667,0.0,8.333333333333332,30.0,5.981881648089181,6.13721295342133,88.33333333333333,6.666666666666667,92.58333333333333,35.833333333333336,0.0,8.75,1.25,50.0,0.0,6.25,33.75,6.043932529890318,6.13721295342133,88.75,5.0,96.85,28.749999999999996,1.0,11.0,1.0,49.0,0.0,6.0,32.0,6.038534603428859,6.13721295342133,86.0,5.0,104.27,26.0,0.2751021878908375,1.226914764884892,19.825297910273076,0.0,20.0,0.0,35.0,0.0,0.0,45.0,5.833389795334636,6.440060583522569,70.0,0.0,117.95,57.49999999999999,2.5,17.5,0.0,42.5,0.0,2.5,35.0,5.637064912190223,6.440060583522569,70.0,0.0,115.55,42.5,1.6666666666666667,18.333333333333332,1.6666666666666667,46.666666666666664,0.0,3.3333333333333335,28.333333333333332,5.666014463690092,6.440060583522569,70.0,0.0,112.03333333333333,36.666666666666664,1.25,18.75,1.25,51.24999999999999,0.0,2.5,25.0,5.948753865649955,6.440060583522569,75.0,0.0,108.8125,29.375,1.0,15.0,1.0,60.0,0.0,2.0,21.0,6.197009984392986,6.440060583522569,76.0,0.0,120.4,26.0
q008,0.2739911662378997,1.1763784981262113,22.631432598531248,0.0,0.0,0.0,55.00000000000001,0.0,10.0,35.0,5.70123348300125,5.996598555663529,95.0,0.0,136.9,60.0,5.0,2.5,0.0,47.5,0.0,10.0,35.0,5.798705856071144,5.996598555663529,90.0,10.0,109.375,37.5,3.3333333333333335,10.0,0.0,50.0,0.0,8.333333333333332,28.333333333333332,6.035037663800064,5.996598555663529,88.33333333333333,8.333333333333332,106.91666666666667,38.333333333333336,3.75,12.5,0.0,52.5,0.0,7.5,23.75,5.98592491446459,5.996598555663529,82.5,6.25,113.2,31.25,3.0,12.0,0.0,56.00000000000001,0.0,7.000000000000001,22.0,6.147553231318287,5.996598555663529,81.0,5.0,115.09,27.500000000000004,0.3032844031721569,1.187595928863369,20.57100641876459,0.0,25.0,0.0,40.0,0.0,5.0,30.0,5.680600430077346,6.439989887801697,80.0,5.0,148.35,62.5,0.0,20.0,0.0,45.0,0.0,2.5,32.5,5.802126937089044,6.439989887801697,82.5,5.0,124.15,35.0,0.0,21.666666666666668,0.0,48.333333333333336,0.0,3.3333333333333335,26.666666666666668,6.02308055017635,6.439989887801697,81.66666666666667,5.0,141.06666666666666,33.33333333333333,0.0,20.0,0.0,52.5,0.0,2.5,25.0,6.059503575635046,6.439989887801697,80.0,3.75,134.6625,30.625000000000004,0.0,20.0,0.0,55.00000000000001,0.0,3.0,22.0,6.221301574775799,6.439989887801697,79.0,4.0,136.24,28.000000000000004
q009,0.2709379421410657,1.1734632367319182,22.38491186991334,0.0,10.0,0.0,35.0,0.0,10.0,45.0,6.4705467427521155,6.748616057243313,80.0,5.0,131.7,60.0,0.0,12.5,0.0,37.5,0.0,7.5,42.5,6.577386397059561,6.748616057243313,82.5,7.5,131.4,40.0,3.3333333333333335,13.333333333333334,0.0,46.666666666666664,0.0,5.0,31.666666666666664,6.495366151204671,6.748616057243313,75.0,5.0,142.76666666666668,35.833333333333336,2.5,13.750000000000002,0.0,52.5,0.0,3.75,27.500000000000004,6.528314504390444,6.748616057243313,80.0,3.75,133.175,30.0,2.0,14.000000000000002,0.0,56.00000000000001,0.0,3.0,25.0,6.588652527731697,6.748616057243313,82.0,3.0,127.36,29.5,0.30836901184251475,1.2031227335054273,20.88222331851721,5.0,15.0,0.0,30.0,0.0,25.0,25.0,6.078277266675356,6.587930487538574,70.0,10.0,118.9,67.5,2.5,12.5,0.0,40.0,0.0,17.5,27.500000000000004,5.9685838222826195,6.587930487538574,75.0,7.5,108.75,46.25,1.6666666666666667,15.0,0.0,40.0,0.0,16.666666666666664,26.666666666666668,6.2260598390119135,6.587930487538574,75.0,8.333333333333332,105.55,37.5,1.25,13.750000000000002,0.0,48.75,0.0,12.5,23.75,6.375908870696907,6.587930487538574,76.25,6.25,109.35,31.874999999999996,1.0,12.0,0.0,56.99999999999999,0.0,10.0,20.0,6.50929023890123,6.587930487538574,80.0,5.0,103.86,29.5
q012,0.32246598862330267,1.164871271220883,21.504747819304466,0.0,10.0,0.0,45.0,0.0,15.0,30.0,5.90541008584488,6.252486406273061,75.0,5.0,113.7,55.00000000000001,0.0,7.5,0.0,57.49999999999999,0.0,7.5,27.500000000000004,6.190082880426853,6.252486406273061,75.0,5.0,116.05,36.25,0.0,6.666666666666667,0.0,60.0,0.0,6.666666666666667,26.666666666666668,6.266760139880739,6.252486406273061,81.66666666666667,3.3333333333333335,105.76666666666667,37.5,0.0,7.5,0.0,65.0,0.0,5.0,22.5,6.259145917520612,6.252486406273061,85.0,2.5,117.025,35.0,1.0,12.0,0.0,64.0,0.0,4.0,19.0,6.177361542267137,6.252486406273061,82.0,3.0,110.33,33.5,0.3039653763456421,1.195194131716352,20.201722029149533,5.0,20.0,0.0,45.0,0.0,15.0,15.0,5.621978982080751,6.337555510750596,65.0,5.0,131.85,55.00000000000001,2.5,15.0,0.0,52.5,0.0,12.5,17.5,5.672771890579153,6.337555510750596,77.5,5.0,107.625,40.0,1.6666666666666667,11.666666666666666,0.0,60.0,0.0,10.0,16.666666666666664,6.080541388978279,6.337555510750596,81.66666666666667,3.3333333333333335,97.31666666666666,35.0,1.25,12.5,0.0,62.5,0.0,7.5,16.25,6.1818423575497805,6.337555510750596,82.5,2.5,96.8625,31.874999999999996,1.0,15.0,0.0,63.0,0.0,7.000000000000001,14.000000000000002,6.271172753764137,6.337555510750596,79.0,2.0,100.34,32.0
q014,0.2861761558734962,1.1699445175206,23.008631162643432,0.0,25.0,0.0,30.0,0.0,0.0,45.0,5.935338451951043,6.216726036552766,70.0,20.0,112.25,57.49999999999999,0.0,22.5,0.0,40.0,0.0,7.5,30.0,5.91391246386356,6.216726036552766,75.0,15.0,102.75,41.25,0.0,18.333333333333332,0.0,50.0,0.0,5.0,26.666666666666668,5.986361772778583,6.216726036552766,76.66666666666667,10.0,103.38333333333334,35.0,1.25,15.0,0.0,55.00000000000001,0.0,6.25,22.5,6.0502091051267195,6.216726036552766,76.25,8.75,101.8,30.625000000000004,2.0,18.0,0.0,55.00000000000001,0.0,6.0,19.0,6.0559165346005015,6.216726036552766,71.0,8.0,103.33,30.0,0.24781878231827875,1.2241531585805616,22.826256456375123,0.0,25.0,0.0,25.0,0.0,20.0,30.0,5.965162913198807,6.256746438954733,65.0,15.0,111.35,65.0,0.0,20.0,0.0,40.0,0.0,15.0,25.0,6.09050723114868,6.256746438954733,70.0,12.5,133.5,42.5,1.6666666666666667,26.666666666666668,0.0,41.66666666666667,0.0,13.333333333333334,16.666666666666664,6.186048747216352,6.256746438954733,68.33333333333333,8.333333333333332,134.83333333333334,38.333333333333336,1.25,21.25,0.0,51.24999999999999,0.0,11.25,15.0,6.273881772618044,6.256746438954733,73.75,6.25,128.875,35.0,1.0,18.0,0.0,57.99999999999999,0.0,9.0,14.000000000000002,6.139725133477394,6.256746438954733,77.0,5.0,134.66,34.0
q015,0.2936508722842619,1.1795504727476225,21.18187357187271,0.0,5.0,0.0,50.0,0.0,25.0,20.0,7.0808183430732585,6.310801975172379,85.0,5.0,44.1,62.5,0.0,15.0,0.0,57.49999999999999,0.0,15.0,12.5,6.6481811127597865,6.310801975172379,80.0,2.5,66.6,42.5,0.0,10.0,0.0,66.66666666666666,0.0,11.666666666666666,11.666666666666666,6.592434450361545,6.310801975172379,78.33333333333333,1.6666666666666667,75.91666666666667,35.0,0.0,12.5,0.0,62.5,0.0,10.0,15.0,6.454775451401458,6.310801975172379,77.5,2.5,69.725,31.25,0.0,14.000000000000002,0.0,62.0,0.0,8.0,16.0,6.379120949250326,6.310801975172379,79.0,2.0,68.08,31.0,0.2989221009001399,1.2257367152550334,19.204413581490517,0.0,25.0,0.0,25.0,0.0,15.0,35.0,5.981323014321826,6.133760554118757,75.0,10.0,78.3,65.0,2.5,20.0,0.0,50.0,0.0,7.5,20.0,5.839564373753797,6.133760554118757,72.5,5.0,73.6,40.0,1.6666666666666667,16.666666666666664,0.0,56.666666666666664,0.0,5.0,20.0,5.931770186706829,6.133760554118757,80.0,3.3333333333333335,75.45,36.666666666666664,1.25,16.25,0.0,61.25000000000001,0.0,3.75,17.5,6.146138708004709,6.133760554118757,82.5,2.5,72.55,33.125,1.0,14.000000000000002,0.0,66.0,0.0,3.0,16.0,6.243675374823746,6.133760554118757,85.0,2.0,66.86,33.0
q016,0.3074237404466472,1.2219001642579586,21.399591463804246,0.0,15.0,0.0,45.0,0.0,15.0,25.0,5.2796534770871295,5.986184700584181,45.0,0.0,307.05,57.49999999999999,0.0,17.5,0.0,50.0,0.0,15.0,17.5,5.573902134151293,5.986184700584181,55.00000000000001,0.0,283.475,36.25,1.6666666666666667,13.333333333333334,0.0,51.66666666666667,0.0,13.333333333333334,20.0,5.738373314663915,5.986184700584181,63.33333333333333,0.0,283.1166666666667,35.833333333333336,1.25,17.5,0.0,52.5,0.0,10.0,18.75,5.819464477079747,5.986184700584181,60.0,0.0,268.8,33.125,1.0,16.0,0.0,56.99999999999999,0.0,9.0,17.0,5.864595108596896,5.986184700584181,59.0,1.0,250.81,30.5,0.29254857390095657,1.22810710147295,20.752150083631278,5.0,25.0,0.0,50.0,0.0,10.0,10.0,6.195286699947812,6.216139978413636,60.0,5.0,218.85,72.5,2.5,30.0,0.0,50.0,0.0,5.0,12.5,5.945192888467714,6.216139978413636,57.49999999999999,2.5,210.825,45.0,1.6666666666666667,23.333333333333332,0.0,51.66666666666667,0.0,6.666666666666667,16.666666666666664,5.8179473506888915,6.216139978413636,63.33333333333333,3.3333333333333335,208.71666666666667,37.5,1.25,17.5,0.0,60.0,0.0,6.25,15.0,5.920330618967948,6.216139978413636,68.75,3.75,207.975,30.625000000000004,1.0,15.0,0.0,66.0,0.0,6.0,12.0,5.959116876063681,6.216139978413636,71.0,3.0,194.36,30.0
q017,0.29828492930854217,1.14648868877976,21.33265531182289,0.0,0.0,0.0,35.0,0.0,15.0,50.0,6.347080427590645,6.610103841954208,90.0,15.0,67.25,60.0,2.5,5.0,0.0,50.0,0.0,12.5,30.0,6.488905070638351,6.610103841954208,90.0,7.5,61.225,40.0,1.6666666666666667,6.666666666666667,0.0,55.00000000000001,0.0,10.0,26.666666666666668,6.413331104795138,6.610103841954208,90.0,8.333333333333332,55.766666666666666,35.0,1.25,10.0,0.0,56.25,0.0,8.75,23.75,6.461582618081903,6.610103841954208,88.75,7.5,53.9875,34.375,2.0,9.0,0.0,56.00000000000001,0.0,8.0,25.0,6.506790769253521,6.610103841954208,90.0,8.0,54.28,31.5,0.30785025750129985,1.2285502825691774,20.074025476276873,0.0,0.0,0.0,35.0,0.0,25.0,40.0,4.932424764732179,6.221258765721662,85.0,20.0,67.65,62.5,2.5,7.5,0.0,47.5,0.0,12.5,30.0,5.657590765036789,6.221258765721662,87.5,12.5,51.85,43.75,1.6666666666666667,13.333333333333334,0.0,53.333333333333336,0.0,10.0,21.666666666666668,5.727069914161856,6.221258765721662,85.0,8.333333333333332,61.68333333333333,36.666666666666664,1.25,13.750000000000002,0.0,55.00000000000001,0.0,8.75,21.25,5.972082125624842,6.221258765721662,86.25,7.5,54.5,31.874999999999996,1.0,14.000000000000002,0.0,59.0,0.0,7.000000000000001,19.0,6.240572519882983,6.221258765721662,87.0,6.0,57.2,31.5
q018,0.31192328173956,1.1756994149697424,21.151232151091097,5.0,5.0,0.0,50.0,0.0,0.0,40.0,6.639299334056106,5.963869654321564,85.0,5.0,83.25,55.00000000000001,5.0,7.5,0.0,55.00000000000001,0.0,7.5,25.0,6.37913991680157,5.963869654321564,82.5,7.5,132.5,36.25,5.0,13.333333333333334,0.0,58.333333333333336,0.0,5.0,18.333333333333332,6.259387194492592,5.963869654321564,78.33333333333333,6.666666666666667,140.63333333333333,35.833333333333336,3.75,12.5,0.0,62.5,0.0,5.0,16.25,6.366144240071018,5.963869654321564,80.0,5.0,125.1875,31.874999999999996,4.0,12.0,0.0,65.0,0.0,5.0,14.000000000000002,6.320476006038587,5.963869654321564,79.0,4.0,123.05,32.0,0.3283281422062902,1.1523771060424066,20.762898621559142,0.0,10.0,0.0,50.0,0.0,15.0,25.0,5.9821799144197785,5.980336432836987,90.0,0.0,127.55,60.0,0.0,10.0,0.0,52.5,0.0,10.0,27.500000000000004,5.90296674549609,5.980336432836987,90.0,2.5,143.325,41.25,1.6666666666666667,11.666666666666666,0.0,51.66666666666667,0.0,8.333333333333332,26.666666666666668,5.9929266988323615,5.980336432836987,83.33333333333334,1.6666666666666667,134.8,35.0,1.25,12.5,0.0,56.25,0.0,6.25,23.75,6.027380262831447,5.980336432836987,85.0,1.25,144.1,31.25,2.0,12.0,0.0,59.0,0.0,5.0,22.0,6.032000097580083,5.980336432836987,85.0,1.0,136.84,32.0
